"id","province_id","name","alt_name","latitude","longitude"
"3201","32","KABUPATEN BOGOR","KABUPATEN BOGOR","-6.58333","106.71667"
"3202","32","KABUPATEN SUKABUMI","KABUPATEN SUKABUMI","-7.06667","106.7"
"3203","32","KABUPATEN CIANJUR","KABUPATEN CIANJUR","-6.7725","107.08306"
"3204","32","KABUPATEN BANDUNG","KABUPATEN BANDUNG","-7.1","107.6"
"3205","32","KABUPATEN GARUT","KABUPATEN GARUT","-7.38333","107.76667"
"3206","32","KABUPATEN TASIKMALAYA","KABUPATEN TASIKMALAYA","-7.5","108.13333"
"3207","32","KABUPATEN CIAMIS","KABUPATEN CIAMIS","-7.28333","108.41667"
"3208","32","KABUPATEN KUNINGAN","KABUPATEN KUNINGAN","-7","108.55"
"3209","32","KABUPATEN CIREBON","KABUPATEN CIREBON","-6.8","108.56667"
"3210","32","KABUPATEN MAJALENGKA","KABUPATEN MAJALENGKA","-6.81667","108.28333"
"3211","32","KABUPATEN SUMEDANG","KABUPATEN SUMEDANG","-6.81667","107.98333"
"3212","32","KABUPATEN INDRAMAYU","KABUPATEN INDRAMAYU","-6.45","108.16667"
"3213","32","KABUPATEN SUBANG","KABUPATEN SUBANG","-6.50833","107.7025"
"3214","32","KABUPATEN PURWAKARTA","KABUPATEN PURWAKARTA","-6.58333","107.45"
"3215","32","KABUPATEN KARAWANG","KABUPATEN KARAWANG","-6.26667","107.41667"
"3216","32","KABUPATEN BEKASI","KABUPATEN BEKASI","-6.24667","107.10833"
"3217","32","KABUPATEN BANDUNG BARAT","KABUPATEN BANDUNG BARAT","-6.83333","107.48333"
"3218","32","KABUPATEN PANGANDARAN","KABUPATEN PANGANDARAN","-7.6673","108.64037"
"3271","32","KOTA BOGOR","KOTA BOGOR","-6.59167","106.8"
"3272","32","KOTA SUKABUMI","KOTA SUKABUMI","-6.95","106.93333"
"3273","32","KOTA BANDUNG","KOTA BANDUNG","-6.9175","107.62444"
"3274","32","KOTA CIREBON","KOTA CIREBON","-6.75","108.55"
"3275","32","KOTA BEKASI","KOTA BEKASI","-6.28333","106.98333"
"3276","32","KOTA DEPOK","KOTA DEPOK","-6.4","106.81667"
"3277","32","KOTA CIMAHI","KOTA CIMAHI","-6.89167","107.55"
"3278","32","KOTA TASIKMALAYA","KOTA TASIKMALAYA","-7.35","108.21667"
"3279","32","KOTA BANJAR","KOTA BANJAR","-7.36996","108.53209"
